"lambda","n","method1","method2","method3","method4","method5","method6"
2,10,0.9706,0.9292,0.9026,0.9517,0.9517,0.9607
2,25,0.9598,0.9444,0.9193,0.9497,0.9497,0.9354
2,50,0.9554,0.9492,0.9288,0.9501,0.9501,0.9339
2,100,0.9507,0.9459,0.9404,0.948,0.948,0.9352
2,500,0.9529,0.9521,0.9505,0.952,0.952,0.9455
4,10,0.9698,0.9311,0.9023,0.951,0.951,0.9418
4,25,0.9588,0.9432,0.9191,0.9485,0.9485,0.9306
4,50,0.9567,0.9485,0.9302,0.9518,0.9518,0.9364
4,100,0.951,0.9456,0.9408,0.9481,0.9481,0.9389
4,500,0.9543,0.9517,0.9502,0.9523,0.9523,0.947
8,10,0.9699,0.9289,0.9019,0.9503,0.9503,0.9262
8,25,0.957,0.945,0.9192,0.9487,0.9487,0.9268
8,50,0.9547,0.9494,0.9305,0.9512,0.9512,0.9369
8,100,0.9517,0.9452,0.9406,0.9477,0.9477,0.9423
8,500,0.9538,0.9515,0.9498,0.9525,0.9525,0.9482
12,10,0.969,0.9272,0.9025,0.9511,0.9511,0.9218
12,25,0.9597,0.9449,0.9193,0.9494,0.9494,0.9268
12,50,0.9555,0.9495,0.9291,0.9526,0.9526,0.9372
12,100,0.9513,0.9458,0.9415,0.9477,0.9477,0.9431
12,500,0.9532,0.9521,0.9497,0.9525,0.9525,0.9492
