"lambda","n","method1","method2","method3","method4","method5","method6"
2,10,0.7941,0.9324,0.7339,0.8583,0.886,0.7042
2,25,0.8688,0.9409,0.829,0.9074,0.9058,0.8061
2,50,0.9061,0.9479,0.878,0.9336,0.9272,0.8601
2,100,0.9213,0.946,0.905,0.9385,0.9359,0.8924
2,500,0.9462,0.951,0.9421,0.9491,0.9489,0.9359
4,10,0.8468,0.9309,0.7984,0.8812,0.9185,0.7741
4,25,0.8928,0.9431,0.8678,0.9191,0.929,0.8498
4,50,0.9243,0.9497,0.9052,0.939,0.9419,0.8928
4,100,0.9342,0.9428,0.9231,0.9372,0.9399,0.914
4,500,0.9483,0.9494,0.946,0.9487,0.9476,0.9442
8,10,0.872,0.9283,0.8461,0.8925,0.9328,0.8293
8,25,0.9137,0.9416,0.8984,0.9281,0.9382,0.8862
8,50,0.9363,0.9516,0.9247,0.9444,0.9491,0.9147
8,100,0.9401,0.9494,0.9348,0.9446,0.9472,0.9285
8,500,0.9475,0.9483,0.9458,0.9478,0.9476,0.9445
12,10,0.881,0.9282,0.863,0.8946,0.9376,0.8464
12,25,0.9191,0.9422,0.9056,0.9267,0.941,0.8957
12,50,0.9386,0.9478,0.9311,0.9426,0.9486,0.9249
12,100,0.9416,0.9491,0.9346,0.945,0.9499,0.9322
12,500,0.9472,0.9471,0.9466,0.9473,0.9483,0.9464
