"lambda","n","method1","method2","method3","method4","method5","method6"
2,10,4.1874,4.276,7.5531,3.9031,3.9031,17.6629
2,25,2.3757,2.395,2.9569,2.3133,2.3133,7.1005
2,50,1.6176,1.6235,1.7996,1.5981,1.5981,4.3961
2,100,1.1288,1.13,1.1883,1.1208,1.1208,2.9763
2,500,0.4973,0.497,0.5024,0.4966,0.4966,1.3649
4,10,8.3938,8.573,15.1829,7.8323,7.8323,26.827
4,25,4.7515,4.791,5.9095,4.6316,4.6316,10.8836
4,50,3.2364,3.249,3.6001,3.197,3.197,6.832
4,100,2.2568,2.261,2.3741,2.2398,2.2398,4.6577
4,500,0.9948,0.994,1.005,0.9936,0.9936,2.0995
8,10,16.7491,17.1075,30.2689,15.5985,15.5985,43.4247
8,25,9.4969,9.577,11.8034,9.2449,9.2449,17.6828
8,50,6.4756,6.502,7.1915,6.394,6.394,11.1394
8,100,4.514,4.523,4.7476,4.4786,4.4786,7.5286
8,500,1.9894,1.989,2.0105,1.9872,1.9872,3.3332
12,10,25.0642,25.601,45.2767,23.4108,23.4108,59.2827
12,25,14.2387,14.359,17.7368,13.8751,13.8751,24.1096
12,50,9.7206,9.761,10.7984,9.6105,9.6105,15.1377
12,100,6.7733,6.7865,7.1215,6.7167,6.7167,10.2105
12,500,2.984,2.984,3.0144,2.9794,2.9794,4.4586
