"lambda","n","method1","method2","method3","method4","method5","method6"
2,10,7.4001,45.727,7.199,8.4691,13.4934,5.7284
2,25,5.5346,9.1635,5.4744,5.9553,7.4617,4.7185
2,50,4.1392,5.1925,4.1,4.2945,4.856,3.7141
2,100,3.0102,3.3565,2.9955,3.0705,3.2708,2.8149
2,500,1.381,1.41,1.3768,1.3845,1.403,1.3548
4,10,5.7566,11.9495,5.6848,6.2592,8.9142,4.8243
4,25,4.063,5.222,4.033,4.2235,4.9223,3.6593
4,50,2.9679,3.344,2.9537,3.0301,3.2788,2.787
4,100,2.1491,2.276,2.1431,2.1721,2.2606,2.0653
4,500,0.976,0.986,0.975,0.9778,0.9861,0.966
8,10,4.2347,6.1545,4.198,4.4093,5.8501,3.8137
8,25,2.9183,3.354,2.898,2.9744,3.3387,2.7506
8,50,2.1296,2.28,2.1281,2.1552,2.2813,2.045
8,100,1.5265,1.578,1.5237,1.5339,1.5799,1.496
8,500,0.691,0.695,0.6901,0.6912,0.6953,0.6866
12,10,3.5064,4.6245,3.488,3.6108,4.6698,3.2474
12,25,2.3988,2.663,2.3907,2.4301,2.6898,2.2949
12,50,1.7477,1.84,1.7438,1.7582,1.8499,1.6899
12,100,1.2484,1.28,1.2462,1.2512,1.2845,1.2299
12,500,0.5641,0.566,0.5635,0.564,0.5672,0.5614
